ORIGIN,TERMINAL,DISTENCE,PRICE,TIME
阿坝,阿克苏,2105,994,4.68
阿坝,巴彦淖尔,1089,909,2.42
阿坝,包头,1186,920,2.64
阿坝,北海,1346,936,2.99
阿坝,北京,1553,955,3.45
阿坝,博鳌,1644,962,3.65
阿坝,长春,2411,1012,5.36
阿坝,长沙,1112,911,2.47
阿坝,长治,1110,911,2.47
阿坝,常州,1675,965,3.72
阿坝,朝阳,1564,956,3.48
阿坝,成都,221,701,0.49
阿坝,赤峰,1872,979,4.16
阿坝,达州,504,808,1.12
阿坝,大理,717,854,1.59
阿坝,大连,1916,982,4.26
阿坝,大庆,2537,1019,5.64
阿坝,大同,2485,1016,5.52
阿坝,丹东,2180,999,4.84
阿坝,稻城,396,777,0.88
阿坝,敦煌,1188,920,2.64
阿坝,鄂尔多斯,1123,913,2.5
阿坝,十堰,809,870,1.8
阿坝,石河子,1969,986,4.38
阿坝,福州,1783,973,3.96
阿坝,抚远,3227,1050,7.17
阿坝,阜阳,1279,929,2.84
阿坝,赣州,1407,942,3.13
阿坝,广元,343,758,0.76
阿坝,广州,1463,947,3.25
阿坝,贵阳,729,856,1.62
阿坝,桂林,1076,907,2.39
阿坝,哈尔滨,2600,1022,5.78
阿坝,哈密,1391,940,3.09
阿坝,海口,1548,954,3.44
阿坝,海拉尔,2435,1013,5.41
阿坝,杭州,1721,968,3.82
阿坝,合肥,1420,943,3.16
阿坝,呼和浩特,1301,932,2.89
阿坝,惠州,1546,954,3.44
阿坝,淮安,1606,959,3.57
阿坝,和田,2119,995,4.71
阿坝,黄山,1518,952,3.37
阿坝,揭阳,1671,964,3.71
阿坝,晋江泉州,1783,973,3.96
阿坝,井冈山,1293,931,2.87
阿坝,景德镇,1459,947,3.24
阿坝,佳木斯,2901,1036,6.45
阿坝,九寨沟,223,702,0.5
阿坝,建三江,3087,1044,6.86
阿坝,库尔勒,1825,976,4.06
阿坝,克拉玛依,2100,994,4.67
阿坝,昆明,763,862,1.7
阿坝,喀什,2502,1017,5.56
阿坝,兰州,485,803,1.08
阿坝,丽江,591,829,1.31
阿坝,林芝,717,854,1.59
阿坝,柳州,1098,910,2.44
阿坝,六盘水,643,840,1.43
阿坝,泸州,455,795,1.01
阿坝,临汾,976,894,2.17
阿坝,拉萨,1090,909,2.42
阿坝,满洲里,2336,1008,5.19
阿坝,茅台,1401,941,3.11
阿坝,牡丹江,2756,1029,6.12
阿坝,绵阳,238,711,0.53
阿坝,南昌,1358,937,3.02
阿坝,南京,1559,955,3.46
阿坝,南宁,1175,918,2.61
阿坝,南通,1756,971,3.9
阿坝,宁波,1857,978,4.13
阿坝,攀枝花,593,830,1.32
阿坝,齐齐哈尔,2517,1018,5.59
阿坝,青岛,1734,969,3.85
阿坝,三亚,1684,965,3.74
阿坝,石家庄,1310,933,2.91
阿坝,松原,2441,1014,5.42
阿坝,上海,1823,976,4.05
阿坝,深圳,1561,955,3.47
阿坝,沈阳,2175,999,4.83
阿坝,台州,1876,979,4.17
阿坝,太原,1151,916,2.56
阿坝,天津,1573,956,3.5
阿坝,通化,2366,1009,5.26
阿坝,通辽,2181,999,4.85
阿坝,吐鲁番,1654,963,3.68
阿坝,万州,602,832,1.34
阿坝,威海,1915,982,4.26
阿坝,温州,1828,976,4.06
阿坝,乌鲁木齐,1843,977,4.1
阿坝,无锡,1707,967,3.79
阿坝,乌海,958,892,2.13
阿坝,武汉,1157,916,2.57
阿坝,乌兰浩特,2320,1007,5.16
阿坝,乌兰察布,1403,942,3.12
阿坝,西安,2357,1009,5.24
阿坝,西昌,449,793,1.0
阿坝,西宁,528,814,1.17
阿坝,锡林浩特,1816,975,4.04
阿坝,厦门,1758,971,3.91
阿坝,徐州,1416,943,3.15
阿坝,烟台,1848,977,4.11
阿坝,延吉,2687,1026,5.97
阿坝,盐城,1683,965,3.74
阿坝,扬州,1618,960,3.6
阿坝,伊宁,2265,1004,5.03
阿坝,宜宾,418,784,0.93
阿坝,宜昌,872,880,1.94
阿坝,义乌,1729,969,3.84
阿坝,银川,817,871,1.82
阿坝,榆林,984,895,2.19
阿坝,运城,885,882,1.97
阿坝,湛江,1432,944,3.18
阿坝,张家界,848,876,1.88
阿坝,郑州,1106,911,2.46
阿坝,重庆,487,804,1.08
阿坝,珠海,1550,954,3.44
阿坝,遵义,651,842,1.45
阿克苏,阿坝,2105,994,4.68
阿克苏,巴彦淖尔,2211,1001,4.91
阿克苏,包头,2415,1012,5.37
阿克苏,北海,3369,1055,7.49
阿克苏,北京,2975,1039,6.61
阿克苏,博鳌,3659,1066,8.13
阿克苏,长春,3619,1065,8.04
阿克苏,长沙,3197,1049,7.1
阿克苏,长治,2812,1032,6.25
阿克苏,常州,3586,1064,7.97
阿克苏,朝阳,2985,1040,6.63
阿克苏,成都,2326,1007,5.17
阿克苏,赤峰,3135,1046,6.97
阿克苏,达州,2571,1020,5.71
阿克苏,大理,2401,1011,5.34
阿克苏,大连,3435,1058,7.63
阿克苏,大庆,3559,1063,7.91
阿克苏,大同,3540,1062,7.87
阿克苏,丹东,3628,1065,8.06
阿克苏,稻城,2164,998,4.81
阿克苏,敦煌,1100,910,2.44
阿克苏,鄂尔多斯,2443,1014,5.43
阿克苏,十堰,2770,1030,6.16
阿克苏,石河子,595,830,1.32
阿克苏,福州,3853,1073,8.56
阿克苏,抚远,4236,1085,9.41
阿克苏,阜阳,3180,1048,7.07
阿克苏,赣州,3506,1061,7.79
阿克苏,广元,2366,1009,5.26
阿克苏,广州,3563,1063,7.92
阿克苏,贵阳,2802,1031,6.23
阿克苏,桂林,3173,1048,7.05
阿克苏,哈尔滨,3694,1067,8.21
阿克苏,哈密,1055,904,2.34
阿克苏,海口,3572,1063,7.94
阿克苏,海拉尔,3183,1048,7.07
阿克苏,杭州,3684,1067,8.19
阿克苏,合肥,3353,1055,7.45
阿克苏,呼和浩特,2563,1020,5.7
阿克苏,惠州,3650,1066,8.11
阿克苏,淮安,3447,1058,7.66
阿克苏,和田,371,769,0.82
阿克苏,黄山,3503,1060,7.78
阿克苏,揭阳,3776,1070,8.39
阿克苏,晋江泉州,3874,1074,8.61
阿克苏,井冈山,3389,1056,7.53
阿克苏,景德镇,3481,1060,7.74
阿克苏,佳木斯,3955,1076,8.79
阿克苏,九寨沟,2165,998,4.81
阿克苏,建三江,4127,1082,9.17
阿克苏,库尔勒,410,782,0.91
阿克苏,克拉玛依,621,836,1.38
阿克苏,昆明,2625,1023,5.83
阿克苏,喀什,448,793,1.0
阿克苏,兰州,2030,990,4.51
阿克苏,丽江,2306,1006,5.12
阿克苏,林芝,1802,974,4.0
阿克苏,柳州,3175,1048,7.06
阿克苏,六盘水,2663,1025,5.92
阿克苏,泸州,2548,1019,5.66
阿克苏,临汾,2682,1026,5.96
阿克苏,拉萨,1492,950,3.32
阿克苏,满洲里,3009,1041,6.69
阿克苏,茅台,3193,1048,7.1
阿克苏,牡丹江,3943,1076,8.76
阿克苏,绵阳,2327,1007,5.17
阿克苏,南昌,3409,1057,7.58
阿克苏,南京,3470,1059,7.71
阿克苏,南宁,3204,1049,7.12
阿克苏,南通,3650,1066,8.11
阿克苏,宁波,3819,1072,8.49
阿克苏,攀枝花,2434,1013,5.41
阿克苏,齐齐哈尔,3475,1059,7.72
阿克苏,青岛,3430,1058,7.62
阿克苏,三亚,3657,1066,8.13
阿克苏,石家庄,2869,1035,6.38
阿克苏,松原,3562,1063,7.92
阿克苏,上海,3740,1069,8.31
阿克苏,深圳,3660,1066,8.13
阿克苏,沈阳,3511,1061,7.8
阿克苏,台州,3874,1074,8.61
阿克苏,太原,2707,1027,6.02
阿克苏,天津,3064,1043,6.81
阿克苏,通化,3716,1068,8.26
阿克苏,通辽,3381,1056,7.51
阿克苏,吐鲁番,722,855,1.6
阿克苏,万州,2675,1025,5.94
阿克苏,威海,3522,1061,7.83
阿克苏,温州,3849,1073,8.55
阿克苏,乌鲁木齐,655,843,1.46
阿克苏,无锡,3624,1065,8.05
阿克苏,乌海,2180,999,4.84
阿克苏,武汉,3171,1048,7.05
阿克苏,乌兰浩特,3338,1054,7.42
阿克苏,乌兰察布,2680,1026,5.96
阿克苏,西安,3624,1065,8.05
阿克苏,西昌,2367,1010,5.26
阿克苏,西宁,1836,976,4.08
阿克苏,锡林浩特,2888,1035,6.42
阿克苏,厦门,3852,1073,8.56
阿克苏,徐州,3234,1050,7.19
阿克苏,烟台,3456,1059,7.68
阿克苏,延吉,3966,1077,8.81
阿克苏,盐城,3524,1061,7.83
阿克苏,扬州,3508,1061,7.8
阿克苏,伊宁,408,781,0.91
阿克苏,宜宾,2494,1016,5.54
阿克苏,宜昌,2912,1036,6.47
阿克苏,义乌,3723,1068,8.27
阿克苏,银川,2154,997,4.79
阿克苏,榆林,2459,1014,5.46
