ORIGIN,TERMINAL,DISTENCE,PRICE
阿坝,阿克苏,2105,994
阿坝,巴彦淖尔,1089,909
阿坝,包头,1186,920
阿坝,北海,1346,936
阿坝,北京,1553,955
阿坝,博鳌,1644,962
阿坝,长春,2411,1012
阿坝,长沙,1112,911
阿坝,长治,1110,911
阿坝,常州,1675,965
阿坝,朝阳,1564,956
阿坝,成都,221,701
阿坝,赤峰,1872,979
阿坝,达州,504,808
阿坝,大理,717,854
阿坝,大连,1916,982
阿坝,大庆,2537,1019
阿坝,大同,2485,1016
阿坝,丹东,2180,999
阿坝,稻城,396,777
阿坝,敦煌,1188,920
阿坝,鄂尔多斯,1123,913
阿坝,十堰,809,870
阿坝,石河子,1969,986
阿坝,福州,1783,973
阿坝,抚远,3227,1050
阿坝,阜阳,1279,929
阿坝,赣州,1407,942
阿坝,广元,343,758
阿坝,广州,1463,947
阿坝,贵阳,729,856
阿坝,桂林,1076,907
阿坝,哈尔滨,2600,1022
阿坝,哈密,1391,940
阿坝,海口,1548,954
阿坝,海拉尔,2435,1013
阿坝,杭州,1721,968
阿坝,合肥,1420,943
阿坝,呼和浩特,1301,932
阿坝,惠州,1546,954
阿坝,淮安,1606,959
阿坝,和田,2119,995
阿坝,黄山,1518,952
阿坝,揭阳,1671,964
阿坝,晋江,1783,973
阿坝,井冈山,1293,931
阿坝,景德镇,1459,947
阿坝,佳木斯,2901,1036
阿坝,九寨沟,223,702
阿坝,建三江,3087,1044
阿坝,库尔勒,1825,976
阿坝,克拉玛依,2100,994
阿坝,昆明,763,862
阿坝,喀什,2502,1017
阿坝,兰州,485,803
阿坝,丽江,591,829
阿坝,林芝,717,854
阿坝,柳州,1098,910
阿坝,六盘水,643,840
阿坝,泸州,455,795
阿坝,临汾,976,894
阿坝,拉萨,1090,909
阿坝,满洲里,2336,1008
阿坝,茅台,1401,941
阿坝,牡丹江,2756,1029
阿坝,绵阳,238,711
阿坝,南昌,1358,937
阿坝,南京,1559,955
阿坝,南宁,1175,918
阿坝,南通,1756,971
阿坝,宁波,1857,978
